character,pinyin,translation,category,level
中学生,zhōngxuéshēng,middle school student,Noun,1
住,zhù,"to live, to reside",Verb,1
桌子,zhuōzi,"table, desk",Noun,1
字,zì,"character, script",Noun,1
昨天,zuótiān,yesterday,Noun,1
坐,zuò,to sit,Verb,1
做,zuò,"to do, to make",Verb,1
做饭,zuò fàn,to cook,Verb,1
啊,a,"ah, oh",Auxiliary,2
爱好,àihào,to like,Noun/Verb,2
白色,báisè,white,Noun,2
班,bān,"class, team",Noun/Classifier,2
帮,bāng,to help,Verb,2
帮忙,bāngmáng,to help,Verb,2
包,bāo,"to wrap, to pack",Noun/Verb/Classifier,2
本子,běnzi,notebook,Noun,2
比,bǐ,to compare,Verb/Preposition,2
笔,bǐ,pen,Noun/Classifier,2
别,bié,don't,Adverb,2
不错,búcuò,"not bad, pretty good",Adjective,2
不好意思,bù hǎoyìsi,"sorry, embarrassed",Phrase,2
长,cháng,long,Adjective,2
车站,chēzhàn,station,Noun,2
出,chū,"to go out, to leave",Verb,2
出国,chūguó,to go abroad,Verb,2
出来,chūlái,to come out,Verb,2
出门,chūmén,to go out,Verb,2
出去,chūqù,to go out,Verb,2
床,chuáng,bed,Noun,2
词,cí,"word, term",Noun,2
次,cì,measure word for time or occasion,Adjective/Classifier,2
从,cóng,from,Adverb/Preposition,2
从小,cóngxiǎo,from childhood,Adverb,2
错,cuò,"wrong, mistaken",Adjective,2
打,dǎ,"to hit, to play, to make",Verb,2
打车,dǎchē,to take a taxi,Verb,2
打开,dǎkāi,to open,Verb,2
但,dàn,"but, however",Adverb/Conjunction,2
但是,dànshì,"but, however",Conjunction,2
得,de,particle indicating degree or manner,Auxiliary,2
地,de,particle modifying an adjective into an adverb,Auxiliary,2
等,děng,to wait,Verb/Preposition,2
地铁,dìtiě,"subway, metro",Noun,2
点,diǎn,"to light, to ignite",Noun/Verb/Classifier,2
懂,dǒng,to understand,Verb,2
动,dòng,"to move, to act",Verb,2
饭馆,fànguǎn,restaurant,Noun,2
飞,fēi,to fly,Verb,2
高,gāo,"tall, high",Noun/Adjective,2
高中,gāozhōng,high school,Noun,2
告诉,gàosu,to tell,Verb,2
个子,gèzi,"height, stature",Noun,2
跟,gēn,with,Noun/Verb/Conjunction/Preposition,2
公交车,gōngjiāochē,bus,Noun,2
过,guò,"to pass, to cross",Verb,2
过来,guòlái,to come over,Verb,2
过年,guònián,to celebrate the New Year,Verb,2
过去,guòqù,to go over,Verb,2
过,guo,particle indicating past experience,Auxiliary,2
还是,háishì,still,Adverb/Conjunction,2
黑色,hēisè,black,Noun,2
红茶,hóngchá,black tea,Noun,2
红色,hóngsè,red,Noun,2
后面,hòumiàn,"behind, back",Noun,2
花,huā,to spend (money or time),Verb,2
花,huā,flower,Noun/Adjective,2
画,huà,"to draw, to paint",Noun/Verb,2
坏,huài,"bad, broken",Adjective,2
回来,huílái,to come back,Verb,2
回去,huíqù,to go back,Verb,2
机场,jīchǎng,airport,Noun,2
机票,jīpiào,airplane ticket,Noun,2
记得,jìde,to remember,Verb,2
间,jiān,measure word for rooms,Noun/Classifier,2
教,jiāo,to teach,Verb,2
教室,jiàoshì,classroom,Noun,2
介绍,jièshào,to introduce,Verb,2
进,jìn,to enter,Verb,2
近,jìn,"near, close",Adjective,2
进来,jìnlái,to come in,Verb,2
进去,jìnqù,to go in,Verb,2
经常,jīngcháng,often,Adverb,2
酒店,jiǔdiàn,hotel,Noun,2
就,jiù,"just, then",Adverb/Preposition,2
咖啡,kāfēi,coffee,Noun,2
开始,kāishǐ,to start,Noun/Verb,2
开学,kāixué,school starts,Verb,2
考,kǎo,"to test, to take an exam",Verb,2
考试,kǎoshì,to take an exam,Noun/Verb,2
可能,kěnéng,possible,Noun/Verb/Adjective,2
裤子,kùzi,pants,Noun,2
快,kuài,fast,Adjective/Adverb,2
快乐,kuàilè,"happy, joyful",Adjective,2
快要,kuàiyào,"soon, almost",Adverb,2
篮球,lánqiú,basketball,Noun,2
累,lèi,tired,Verb/Adjective,2
离,lí,"to leave, to be away from",Verb,2
里面,lǐmiàn,inside,Noun,2
楼,lóu,"building, floor",Noun,2
路,lù,"road, path",Noun,2
路上,lùshang,on the road,Noun,2
旅游,lǚyóu,to travel,Verb,2
绿茶,lǜchá,green tea,Noun,2
绿色,lǜsè,green color,Noun/Adjective,2
慢,màn,slow,Adjective,2
没意思,méi yìsi,"boring, uninteresting",Phrase,2
每,měi,"every, each",Adverb/Pronoun,2
门,mén,"door, gate",Noun,2
门口,ménkǒu,"doorway, entrance",Noun,2
门票,ménpiào,ticket,Noun,2
面,miàn,suffix indicating a person with a certain characteristic,Noun/Verb/Classifier/Suffix,2
名,míng,"name, reputation",Noun/Classifier,2
拿,ná,"to take, to hold",Verb,2
那么,nàme,"so, like that",Pronoun/Conjunction,2
那样,nàyàng,like that,Pronoun,2
奶茶,nǎichá,milk tea,Noun,2
奶奶,nǎinai,grandmother,Noun,2
男孩儿,nánháir,boy,Noun,2
鸟,niǎo,bird,Noun,2
女孩儿,nǚháir,girl,Noun,2
旁边,pángbiān,side,Noun,2
跑,pǎo,to run,Verb,2
跑步,pǎobù,"to run, jogging",Verb,2
票,piào,ticket,Noun,2
妻子,qīzi,wife,Noun,2
起来,qǐlái,"to get up, to stand up",Verb,2
前面,qiánmiàn,front,Noun,2
晴,qíng,"sunny, clear",Adjective,2
球,qiú,"ball, sphere",Noun,2
让,ràng,"to let, to allow",Verb/Preposition,2
肉,ròu,meat,Noun,2
商场,shāngchǎng,shopping mall,Noun,2
上来,shànglái,to come up,Verb,2
上面,shàngmiàn,"above, top",Noun,2
上去,shàngqù,to go up,Verb,2
上网,shàngwǎng,"to go online, to surf the Internet",Verb,2
身体,shēntǐ,body,Noun,2
生日,shēngrì,birthday,Noun,2
时,shí,"time, moment",Noun/Classifier,2
事情,shìqing,"matter, affair",Noun,2
手,shǒu,hand,Noun,2
手表,shǒubiǎo,"watch, wristwatch",Noun,2
书包,shūbāo,"backpack, schoolbag",Noun,2
舒服,shūfu,comfortable,Adjective,2
送,sòng,"to give, to send, to see off",Verb,2
虽然,suīrán,although,Conjunction,2
所以,suǒyǐ,"so, therefore",Conjunction,2
疼,téng,"painful, sore",Verb/Adjective,2
踢,tī,to kick,Verb,2
题,tí,"question, problem, topic",Noun,2
条,tiáo,"measure word for long, thin, or strip-like objects",Noun/Classifier,2
跳舞,tiàowǔ,to dance,Verb,2
头,tóu,head,Noun/Adjective/Classifier,2
外国,wàiguó,foreign country,Noun,2
外面,wàimiàn,outside,Noun,2
完,wán,to finish,Verb,2
万,wàn,ten thousand,Number,2
往,wǎng,to go,Verb/Preposition,2
网上,wǎngshàng,online,Noun,2
忘,wàng,to forget,Verb,2
位,wèi,measure word for people,Classifier,2
为什么,wèi shénme,why,Phrase,2
希望,xīwàng,to hope,Verb,2
洗,xǐ,to wash,Verb,2
洗手间,xǐshǒujiān,"restroom, toilet",Noun,2
下来,xiàlái,to come down,Verb,2
下面,xiàmiàn,"below, under",Noun,2
下去,xiàqù,to go down,Verb,2
小孩儿,xiǎoháir,"child, little kid",Noun,2
小时候,xiǎoshíhou,childhood,Noun,2
笑,xiào,"to laugh, to smile",Verb,2
姓,xìng,surname,Noun/Verb,2
姓名,xìngmíng,full name,Noun,2
颜色,yánsè,color,Noun,2
眼睛,yǎnjing,eye,Noun,2
药,yào,"medicine, drug",Noun,2
药店,yàodiàn,pharmacy,Noun,2
爷爷,yéye,grandfather,Noun,2
一会儿,yíhuìr,"a while, a moment",Adverb/Classifier/Number,2
已经,yǐjīng,already,Adverb,2
一起,yìqǐ,together,Adverb,2
意思,yìsi,"meaning, idea",Noun,2
阴,yīn,cloudy,Adjective,2
因为,yīnwèi,because,Conjunction/Preposition,2
游,yóu,to swim,Verb,2
游泳,yóuyǒng,to swim,Verb,2
有意思,yǒuyìsi,"interesting, enjoyable",Adjective,2
有时,yǒushí,sometimes,Adverb,2
右,yòu,right,Noun,2
右边,yòubiān,right side,Noun,2
鱼,yú,fish,Noun,2
远,yuǎn,far,Adjective,2
运动,yùndòng,"to move, to exercise",Noun/Verb,2
站,zhàn,"station, stop",Noun/Verb,2
丈夫,zhàngfu,husband,Noun,2
这么,zhème,"so, such, like this",Pronoun,2
这样,zhèyàng,"like this, so",Pronoun,2
着,zhe,particle indicating ongoing action or state,Auxiliary,2
正,zhèng,"just, exactly, right",Adjective/Adverb,2
周,zhōu,week,Noun/Classifier,2
准备,zhǔnbèi,to prepare,Verb,2
自己,zìjǐ,oneself,Pronoun,2
走,zǒu,to walk,Verb,2
走路,zǒulù,to walk,Verb,2
足球,zúqiú,"soccer, football",Noun,2
最,zuì,"most, -est",Adverb,2
左,zuǒ,left,Noun,2
左边,zuǒbiān,left side,Noun,2
阿姨,āyí,aunt,Noun,3
矮,ǎi,short,Adjective,3
爱人,àirén,spouse,Noun,3
安静,ānjìng,quiet,Adjective,3
安全,ānquán,safe,Adjective,3
把,bǎ,measure word for objects with handles,Classifier/Preposition,3
搬,bān,"to move, to carry",Verb,3
班级,bānjí,"class, grade",Noun,3
搬家,bānjiā,to move house,Verb,3
办,bàn,"to do, to handle",Verb,3
办法,bànfǎ,"way, solution",Noun,3
办公室,bàngōngshì,office,Noun,3
半天,bàntiān,"half a day, a long time",Number-Classifier,3
帮助,bāngzhù,help,Verb,3
饱,bǎo,full,Adjective,3
报纸,bàozhǐ,newspaper,Noun,3
北,běi,north,Noun,3
北方,běifāng,north,Noun,3
被,bèi,by,Preposition,3
笔记,bǐjì,notes,Noun,3
比较,bǐjiào,to compare,Verb/Adverb/Preposition,3
笔记本,bǐjìběn,notebook,Noun,3
比如,bǐrú,for example,Verb,3
比赛,bǐsài,to compete,Noun/Verb,3
必须,bìxū,must,Adverb,3
变,biàn,"to change, to become",Verb,3
遍,biàn,measure word for actions,Classifier,3
变成,biànchéng,"to become, to turn into",Verb,3
变化,biànhuà,to change,Noun/Verb,3
表演,biǎoyǎn,"to perform, to act",Verb,3
别的,biéde,other,Pronoun,3
别人,biérén,other people,Pronoun,3
宾馆,bīnguǎn,hotel,Noun,3
冰,bīng,ice,Noun/Verb,3
冰激凌,bīngjīlíng,ice cream,Noun,3
冰箱,bīngxiāng,refrigerator,Noun,3
病人,bìngrén,patient,Noun,3
不但,búdàn,not only,Conjunction,3
不见,bújiàn,"to disappear, to not see",Verb,3
不用,búyòng,need not,Adverb,3
不同,bù tóng,different,Adjective,3
不久,bùjiǔ,"soon, not long after",Adjective,3
不行,bùxíng,"not allowed, won't do",Verb/Adjective,3
才,cái,"just, only",Adverb,3
菜单,càidān,menu,Noun,3
参加,cānjiā,"to join, to attend",Verb,3
草,cǎo,grass,Noun,3
草地,cǎodì,grassland,Noun,3
层,céng,"measure word for layer, floor",Classifier,3
查,chá,to check,Verb,3
差,chà,"bad, poor",Verb/Adjective,3
差不多,chàbuduō,"almost, similar",Adjective/Adverb,3
尝,cháng,to taste,Verb,3
常,cháng,"often, frequent",Adverb,3
常见,cháng jiàn,common,Adjective,3
常用,cháng yòng,commonly used,Adjective,3
常常,chángcháng,often,Adverb,3
衬衫,chènshān,shirt,Noun,3
成绩,chéngjì,"score, grade, achievement",Noun,3
城市,chéngshì,city,Noun,3
迟到,chídào,to be late,Verb,3
出发,chūfā,"to set out, to leave",Verb,3
出生,chūshēng,to be born,Verb,3
出院,chūyuàn,to be discharged from hospital,Verb,3
初中,chūzhōng,junior high school,Noun,3
除了,chúle,"except, besides",Preposition,3
船,chuán,boat,Noun,3
春天,chūntiān,spring,Noun,3
词典,cídiǎn,dictionary,Noun,3
聪明,cōngming,"smart, clever",Adjective,3
打扫,dǎsǎo,to clean,Verb,3
打算,dǎsuàn,"to plan, intend",Noun/Verb,3
大概,dàgài,"general, rough",Noun/Adjective/Adverb,3
大人,dàrén,adult,Noun,3
大小,dàxiǎo,size,Noun,3
大熊猫,dàxióngmāo,giant panda,Noun,3
大衣,dàyī,coat,Noun,3
带,dài,"to bring, to take",Noun/Verb,3
担心,dānxīn,to worry,Verb,3
蛋糕,dàngāo,cake,Noun,3
当然,dāngrán,of course,Adverb,3
到处,dàochù,everywhere,Adverb,3
得,dé,"to get, to obtain",Verb,3
得到,dédào,"to get, to obtain",Verb,3
得分,défēn,to score,Noun/Verb,3
的话,dehuà,"particle used after a condition clause, if...",Auxiliary,3
得,děi,"must, need",Verb,3
灯,dēng,"lamp, light",Noun,3
地,dì,"ground, earth, land",Noun,3
地点,dìdiǎn,"place, location",Noun,3
地方,dìfāng,place,Noun,3
地图,dìtú,map,Noun,3
电,diàn,electricity,Noun/Verb,3
电梯,diàntī,elevator,Noun,3
电子书,diànzǐshū,e-book,Noun,3
丢,diū,"to lose, to throw away",Verb,3
东,dōng,east,Noun,3
东北,dōngběi,northeast,Noun,3
东方,dōngfāng,east,Noun,3
东南,dōngnán,southeast,Noun,3
冬天,dōngtiān,winter,Noun,3
懂得,dǒngde,to understand,Verb,3
动物,dòngwù,animal,Noun,3
动物园,dòngwùyuán,zoo,Noun,3
短,duǎn,short,Adjective,3
短裤,duǎnkù,shorts,Noun,3
段,duàn,"measure word of segment, paragraph",Classifier,3
锻炼,duànliàn,to exercise,Verb,3
对话,duìhuà,"dialogue, conversation",Noun,3
饿,è,hungry,Adjective,3
而且,érqiě,"and, moreover",Conjunction,3
耳朵,ěrduo,ear,Noun,3
耳机,ěrjī,earphone,Noun,3
发,fā,"to send, to issue",Verb,3
发烧,fāshāo,to have a fever,Verb,3
发生,fāshēng,to happen,Verb,3
发现,fāxiàn,"to find, to discover",Verb,3
发展,fāzhǎn,to develop,Verb,3
方便,fāngbiàn,convenient,Adjective,3
方便面,fāngbiànmiàn,instant noodles,Noun,3
方法,fāngfǎ,method,Noun,3
方向,fāngxiàng,direction,Noun,3
房子,fángzi,house,Noun,3
放,fàng,"to put, to place",Verb,3
放假,fàngjià,to have a holiday,Verb,3
放心,fàngxīn,"to relax, to feel at ease",Verb,3
放学,fàngxué,school is over,Verb,3
分开,fēnkāi,to separate,Verb,3
风,fēng,wind,Noun,3
封,fēng,measure word for letters,Verb/Classifier,3
夫妻,fūqī,husband and wife,Noun,3
服务,fúwù,to serve,Verb,3
附近,fùjìn,nearby,Noun,3
复习,fùxí,to review,Verb,3
该,gāi,should,Verb,3
干净,gānjìng,clean,Adjective,3
感兴趣,gǎn xìngqù,to be interested in,Verb,3
感到,gǎndào,to feel,Verb,3
感冒,gǎnmào,cold,Noun/Verb,3
干,gàn,"to do, to work",Verb,3
刚,gāng,"just, just now",Adverb,3
刚才,gāngcái,just now,Noun,3
刚刚,gānggāng,"just now, a moment ago",Adverb,3
高铁,gāotiě,high-speed rail,Noun,3
根据,gēnjù,to base on,Noun/Verb/Preposition,3
更,gèng,more,Adverb,3
公斤,gōngjīn,kilogram,Classifier,3
公园,gōngyuán,park,Noun,3
工作日,gōngzuòrì,workday,Noun,3
故事,gùshi,story,Noun,3
刮,guā,"to scrape, to blow",Verb,3
关,guān,"to close, to turn off",Noun/Verb,3
关机,guānjī,to turn off device,Verb,3
关系,guānxì,relationship,Noun/Verb,3
关心,guānxīn,"to care about, to be concerned",Verb,3
关于,guānyú,"about, regarding",Preposition,3
关注,guānzhù,"to pay attention to, to follow",Verb,3
国家,guójiā,country,Noun,3
过节,guòjié,to celebrate a festival,Verb,3
过去,guòqù,past,Noun,3
海,hǎi,sea,Noun,3
害怕,hàipà,to be afraid,Verb,3
好多,hǎoduō,"many, a lot",Number,3
好久,hǎojiǔ,a long time,Adjective,3
好像,hǎoxiàng,"to seem, as if",Verb/Adverb,3
号码,hàomǎ,"number, code",Noun,3
河,hé,river,Noun,3
合适,héshì,suitable,Adjective,3
黑板,hēibǎn,blackboard,Noun,3
红绿灯,hónglǜdēng,traffic light,Noun,3
后来,hòulái,"later, afterwards",Noun,3
后年,hòunián,the year after next,Noun,3
后天,hòutiān,the day after tomorrow,Noun,3
护照,hùzhào,passport,Noun,3
花园,huāyuán,garden,Noun,3
画家,huàjiā,"painter, artist",Noun,3
欢迎,huānyíng,to welcome,Verb,3
还,huán,"to return, to give back",Verb,3
环境,huánjìng,environment,Noun,3
换,huàn,"to exchange, to change",Verb,3
黄色,huángsè,yellow,Noun,3
回答,huídá,to answer,Verb,3
会,huì,meeting,Noun,3
